GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labExam,default,Employee,0,45,1,5,0,14,1,7,0,5
labExam,default,EmployeeList,10,38,0,4,5,10,3,5,3,3
